convolution_series,n_convolution,n_dense,dense_series,accuracy,f1_score
Fibonacci,7,8,Fibonacci,79.25049285,0.774523634
Fibonacci,7,8,Square,79.34644821,0.75328085
Fibonacci,7,8,Cube,78.31997528,0.772888159
Fibonacci,7,8,Prime Numbers,79.2322537,0.736523386
Fibonacci,7,8,Ramanujan Summation,79.29307247,0.680650331
Fibonacci,7,8,Triangular Numbers,78.28564858,0.792890709
Fibonacci,7,9,Fibonacci,83.66577451,0.738544393
Fibonacci,7,9,Square,82.27383292,0.721220185
Fibonacci,7,9,Cube,80.6086965,0.759104106
Fibonacci,7,9,Prime Numbers,82.45655361,0.722359454
Fibonacci,7,9,Ramanujan Summation,80.82531833,0.747128481
Fibonacci,7,9,Triangular Numbers,82.5870846,0.785202696
Fibonacci,7,10,Fibonacci,85.75859558,0.813417087
Fibonacci,7,10,Square,83.77931768,0.751108497
Fibonacci,7,10,Cube,85.56337613,0.771614731
Fibonacci,7,10,Prime Numbers,85.01278093,0.84971665
Fibonacci,7,10,Ramanujan Summation,85.42206016,0.820820006
Fibonacci,7,10,Triangular Numbers,86.49679298,0.899753252
Fibonacci,7,11,Fibonacci,87.15461188,0.883006409
Fibonacci,7,11,Square,86.64626384,0.881214653
Fibonacci,7,11,Cube,86.51048557,0.754606572
Fibonacci,7,11,Prime Numbers,86.58418972,0.862193018
Fibonacci,7,11,Ramanujan Summation,87.32289829,0.82134466
Fibonacci,7,11,Triangular Numbers,87.74115197,0.79645091
Fibonacci,7,12,Fibonacci,90.4766908,0.860400767
Fibonacci,7,12,Square,91.02718325,0.899260577
Fibonacci,7,12,Cube,90.21300189,0.87704158
Fibonacci,7,12,Prime Numbers,91.65353408,0.80807631
Fibonacci,7,12,Ramanujan Summation,89.93534317,0.889122946
Fibonacci,7,12,Triangular Numbers,92.92016917,0.820120623
Fibonacci,7,13,Fibonacci,93.62566735,0.890834156
Fibonacci,7,13,Square,92.14284244,0.864832497
Fibonacci,7,13,Cube,91.9291075,0.869056687
Fibonacci,7,13,Prime Numbers,93.48247242,0.918312149
Fibonacci,7,13,Ramanujan Summation,92.77653721,0.827990314
Fibonacci,7,13,Triangular Numbers,93.71400049,0.977259754
Fibonacci,7,14,Fibonacci,92.97323762,0.783945697
Fibonacci,7,14,Square,92.42717109,0.845116616
Fibonacci,7,14,Cube,91.65320628,0.893510594
Fibonacci,7,14,Prime Numbers,90.98515278,0.904215708
Fibonacci,7,14,Ramanujan Summation,92.05348505,0.869976214
Fibonacci,7,14,Triangular Numbers,93.35639879,0.872130465
Fibonacci,7,15,Fibonacci,92.21409374,0.890527504
Fibonacci,7,15,Square,90.75426122,0.858446526
Fibonacci,7,15,Cube,92.17318093,0.939659063
Fibonacci,7,15,Prime Numbers,92.38531738,0.911967456
Fibonacci,7,15,Ramanujan Summation,91.11614256,0.913641218
Fibonacci,7,15,Triangular Numbers,92.15372511,0.821692164
Fibonacci,8,5,Fibonacci,73.45820872,0.680030579
Fibonacci,8,5,Square,72.2570297,0.668976703
Fibonacci,8,5,Cube,73.75778736,0.633719931
Fibonacci,8,5,Prime Numbers,73.96078453,0.702008209
Fibonacci,8,5,Ramanujan Summation,74.48305124,0.657117712
Fibonacci,8,5,Triangular Numbers,74.45380205,0.716770191
Fibonacci,8,6,Fibonacci,74.82233063,0.658490422
Fibonacci,8,6,Square,75.26217496,0.797952031
Fibonacci,8,6,Cube,76.71503527,0.667183367
Fibonacci,8,6,Prime Numbers,76.71378595,0.722965117
Fibonacci,8,6,Ramanujan Summation,76.71504769,0.751592966
Fibonacci,8,6,Triangular Numbers,80.05273149,0.683467978
Fibonacci,8,7,Fibonacci,79.57089051,0.782623432
Fibonacci,8,7,Square,80.13556564,0.67854082
Fibonacci,8,7,Cube,79.95400176,0.812605885
Fibonacci,8,7,Prime Numbers,79.65139125,0.740707463
Fibonacci,8,7,Ramanujan Summation,78.68473076,0.71017943
Fibonacci,8,7,Triangular Numbers,79.75896922,0.725040911
Fibonacci,8,8,Fibonacci,81.02717479,0.808445963
Fibonacci,8,8,Square,81.56318139,0.738777235
Fibonacci,8,8,Cube,81.31463645,0.730532116
Fibonacci,8,8,Prime Numbers,81.88187414,0.75692317
Fibonacci,8,8,Ramanujan Summation,84.11465857,0.709151894
Fibonacci,8,8,Triangular Numbers,79.93273481,0.859027195
Fibonacci,8,9,Fibonacci,85.28626019,0.76768027
Fibonacci,8,9,Square,82.98728413,0.837580839
Fibonacci,8,9,Cube,84.12806813,0.806473504
Fibonacci,8,9,Prime Numbers,85.6889506,0.746773297
Fibonacci,8,9,Ramanujan Summation,84.66428002,0.795702265
Fibonacci,8,9,Triangular Numbers,83.52225522,0.835200139
Fibonacci,8,10,Fibonacci,86.68469629,0.814586933
Fibonacci,8,10,Square,88.07959775,0.883655647
Fibonacci,8,10,Cube,86.66963337,0.87507577
Fibonacci,8,10,Prime Numbers,87.61645859,0.869945743
Fibonacci,8,10,Ramanujan Summation,87.44557184,0.801017161
Fibonacci,8,10,Triangular Numbers,86.74839965,0.770007878
Fibonacci,8,11,Fibonacci,92.34394409,0.82132062
Fibonacci,8,11,Square,90.83391902,0.861812047
Fibonacci,8,11,Cube,88.17485741,0.879289336
Fibonacci,8,11,Prime Numbers,90.38645431,0.74342143
Fibonacci,8,11,Ramanujan Summation,89.53821354,0.85159434
Fibonacci,8,11,Triangular Numbers,91.05243333,0.859904461
Fibonacci,8,12,Fibonacci,92.20747926,0.866122787
Fibonacci,8,12,Square,92.88526356,0.944563692
Fibonacci,8,12,Cube,93.50498728,0.901089004
Fibonacci,8,12,Prime Numbers,93.86575519,0.945509595
Fibonacci,8,12,Ramanujan Summation,91.79970359,0.869201974
Fibonacci,8,12,Triangular Numbers,92.66549876,0.926873875
Fibonacci,8,13,Fibonacci,92.02505469,0.95675332
Fibonacci,8,13,Square,91.84667077,0.940584672
Fibonacci,8,13,Cube,94.26545424,0.82039292
Fibonacci,8,13,Prime Numbers,92.90498171,0.862316196
Fibonacci,8,13,Ramanujan Summation,91.23911605,0.857741765
Fibonacci,8,13,Triangular Numbers,93.41786195,0.899462727
Fibonacci,8,14,Fibonacci,94.1221562,0.904317678
Fibonacci,8,14,Square,93.03246526,0.828055366
Fibonacci,8,14,Cube,90.48063003,0.873391926
Fibonacci,8,14,Prime Numbers,91.51576593,0.769003633
Fibonacci,8,14,Ramanujan Summation,93.26691115,0.94209725
Fibonacci,8,14,Triangular Numbers,91.29233053,0.844381288
Fibonacci,8,15,Fibonacci,91.94381943,0.867793197
Fibonacci,8,15,Square,92.27463405,0.849517514
Fibonacci,8,15,Cube,90.57306953,0.922301379
Fibonacci,8,15,Prime Numbers,91.44047464,0.723124678
Fibonacci,8,15,Ramanujan Summation,88.25873266,0.864169483
Fibonacci,8,15,Triangular Numbers,90.47561236,0.859709062
Fibonacci,9,5,Fibonacci,75.94743185,0.689318181
Fibonacci,9,5,Square,74.95221682,0.798311327
Fibonacci,9,5,Cube,77.8324113,0.667633527
Fibonacci,9,5,Prime Numbers,74.76985862,0.750589809
Fibonacci,9,5,Ramanujan Summation,75.75995551,0.729812639
Fibonacci,9,5,Triangular Numbers,76.33074058,0.775075963
Fibonacci,9,6,Fibonacci,80.44127329,0.706640546
Fibonacci,9,6,Square,77.56413785,0.703351555
Fibonacci,9,6,Cube,80.16316375,0.794803495
Fibonacci,9,6,Prime Numbers,79.01023306,0.761266065
Fibonacci,9,6,Ramanujan Summation,78.01849135,0.662753133
Fibonacci,9,6,Triangular Numbers,79.46210347,0.713034749
Fibonacci,9,7,Fibonacci,81.9990597,0.787319133
Fibonacci,9,7,Square,81.19978312,0.809888211
Fibonacci,9,7,Cube,81.86980208,0.734038467
Fibonacci,9,7,Prime Numbers,81.4146864,0.622287201
Fibonacci,9,7,Ramanujan Summation,81.91351735,0.794161159
Fibonacci,9,7,Triangular Numbers,82.46213067,0.706983966
Fibonacci,9,8,Fibonacci,86.18601682,0.69513306
Fibonacci,9,8,Square,83.3621845,0.654383704
Fibonacci,9,8,Cube,86.73303337,0.836699043
Fibonacci,9,8,Prime Numbers,82.6479122,0.802430873
Fibonacci,9,8,Ramanujan Summation,84.4482149,0.784717181
Fibonacci,9,8,Triangular Numbers,85.18831721,0.865451218
Fibonacci,9,9,Fibonacci,87.68099187,0.855866234
Fibonacci,9,9,Square,86.77730048,0.904815002
Fibonacci,9,9,Cube,87.19187775,0.754363226
Fibonacci,9,9,Prime Numbers,86.90699907,0.822272469
Fibonacci,9,9,Ramanujan Summation,86.81063524,0.743164331
